region	pathogen	test_result	country	2021-12-11	2021-12-18	2021-12-25	2022-01-01	2022-01-08	2022-01-15	2022-01-22	2022-01-29	2022-02-05	2022-02-12	2022-02-19	2022-02-26	2022-03-05	2022-03-12	2022-03-19	2022-03-26	2022-04-02	2022-04-09	2022-04-16	2022-04-23	2022-04-30	2022-05-07	2022-05-14	2022-05-21	2022-05-28	2022-06-04	2022-06-11	2022-06-18	2022-06-25	2022-07-02	2022-07-09	2022-07-16	2022-07-23	2022-07-30	2022-08-06	2022-08-13	2022-08-20	2022-08-27	2022-09-03	2022-09-10	2022-09-17	2022-09-24	2022-10-01	2022-10-08	2022-10-15	2022-10-22	2022-10-29	2022-11-05	2022-11-12	2022-11-19	2022-11-26	2022-12-03	2022-12-10	2022-12-17	2022-12-24	2022-12-31	2023-01-07	2023-01-14	2023-01-21	2023-01-28	2023-02-04
Nordeste	FLUA	1	Brazil	0	4	12	200	375	310	19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
Nordeste	FLUA	0	Brazil	60	32	43	146	704	612	117	140	278	152	91	57	24	39	27	12	21	11	7	8	11	18	23	19	22	19	25	39	24	24	12	11	15	10	11	4	6	6	6	8	7	10	3	6	10	9	7	6	14	8	17	14	7	8	0	0	7	3	1	0	0
Centro-Oeste	FLUA	1	Brazil	5	3	41	965	1057	1185	501	95	27	9	3	2	1	2	0	1	0	0	0	0	1	1	1	0	1	0	3	1	0	0	12	0	1	0	1	5	3	11	14	39	45	79	47	52	15	9	13	4	12	1	2	3	1	1	0	0	1	2	0	0	0
Centro-Oeste	FLUA	0	Brazil	344	299	308	722	1519	3048	4304	2352	2221	1288	887	620	442	612	464	216	269	80	58	107	147	131	135	169	199	184	241	164	153	104	89	83	67	76	55	56	63	88	69	76	66	85	91	101	105	85	63	52	90	40	141	113	112	122	8	0	60	49	64	61	0
Sudeste	FLUA	1	Brazil	158	99	142	1729	3465	3454	1347	293	90	49	24	19	6	8	1	1	1	1	0	1	0	1	1	0	6	2	4	1	2	3	3	2	3	4	1	1	8	7	19	22	59	140	147	184	116	109	91	27	50	5	16	14	3	8	0	1	2	4	3	2	0
Sudeste	FLUA	0	Brazil	1910	1957	1302	2749	9068	17069	15701	5999	5216	3774	2349	1869	853	999	769	324	715	287	80	176	215	332	360	394	425	511	487	404	412	340	334	320	231	212	208	214	221	262	273	298	271	307	360	470	382	461	506	228	692	52	565	377	325	322	6	0	174	139	113	159	0
Norte	FLUA	1	Brazil	0	5	4	42	38	26	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Norte	FLUA	0	Brazil	34	40	50	43	59	97	618	186	167	179	40	28	10	12	13	7	28	7	6	4	17	15	6	7	13	5	9	6	5	10	8	6	5	3	1	6	1	5	3	2	4	4	3	3	1	3	5	2	3	3	5	2	3	2	0	0	3	1	0	0	0
Sul	FLUA	1	Brazil	3	3	26	71	246	167	0	1	2	3	2	2	1	2	4	0	3	1	0	3	6	11	9	13	17	16	29	31	27	41	34	16	8	3	3	7	4	1	3	2	3	7	5	14	6	8	18	2	14	6	16	16	8	1	0	1	0	1	0	0	0
Sul	FLUA	0	Brazil	2	3	41	84	438	529	27	12	55	110	42	48	41	51	29	18	14	14	15	26	46	68	78	93	106	69	100	109	123	135	105	118	68	72	43	46	45	49	52	58	29	34	33	23	28	45	58	23	93	22	120	82	85	51	3	0	33	12	15	19	0
Sul	VSR	1	Brazil	1	0	3	6	12	7	0	0	0	1	1	3	2	8	3	3	3	2	1	3	8	15	13	14	8	5	8	7	4	5	2	2	1	2	0	0	2	1	0	0	0	2	0	0	0	0	1	1	3	0	6	6	4	5	0	0	1	2	4	5	0
Sul	VSR	0	Brazil	4	6	64	148	672	689	27	13	57	112	43	47	40	45	30	15	14	13	14	26	44	64	74	92	115	80	121	133	146	171	137	132	75	73	46	53	47	49	55	60	32	39	38	37	34	53	75	24	104	28	130	92	89	47	3	0	32	11	11	14	0
Nordeste	VSR	1	Brazil	0	0	0	0	3	3	3	0	0	1	0	1	2	1	2	1	4	1	2	0	1	4	6	2	3	0	4	4	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	2	1	2	0	0
Nordeste	VSR	0	Brazil	60	36	55	346	1076	919	133	140	278	151	92	56	22	38	25	11	17	10	5	8	10	14	17	17	19	19	21	35	23	24	12	10	14	10	11	5	6	6	5	8	7	11	4	6	10	9	7	8	15	8	16	13	7	7	0	0	5	3	1	0	0
Centro-Oeste	VSR	1	Brazil	4	4	12	59	62	98	20	26	17	26	37	54	55	64	48	39	24	7	9	26	15	17	14	10	11	11	4	1	3	3	2	3	1	1	0	0	1	0	0	0	1	1	0	2	1	2	0	1	0	0	3	14	8	15	1	1	17	14	17	13	0
Centro-Oeste	VSR	0	Brazil	345	298	337	1628	2514	4135	4785	2421	2231	1271	853	568	388	550	416	178	245	73	49	81	133	115	122	159	189	173	240	164	150	101	99	80	67	75	56	61	65	99	83	115	110	163	138	151	119	92	76	55	102	41	140	102	105	108	7	0	44	37	48	48	0
Sudeste	VSR	1	Brazil	21	23	19	73	167	177	71	17	14	18	22	19	34	48	28	35	41	24	20	40	42	61	69	64	54	64	59	44	38	31	32	36	16	15	11	9	12	8	19	15	10	14	21	44	57	83	101	52	112	4	77	63	63	74	1	1	27	23	20	18	0
Sudeste	VSR	0	Brazil	2047	2033	1424	4405	12364	20345	16977	6275	5292	3805	2351	1869	825	959	742	290	675	264	60	137	173	272	292	330	377	449	432	361	376	312	305	286	218	201	198	206	217	261	273	305	320	433	486	610	441	487	496	203	630	53	504	328	265	256	5	0	151	123	99	143	0
Norte	VSR	1	Brazil	0	0	1	1	0	2	0	0	0	0	2	2	0	2	1	1	2	2	2	1	11	7	4	2	6	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Norte	VSR	0	Brazil	34	45	53	84	97	121	628	186	167	180	38	26	10	10	12	6	26	5	4	3	6	8	2	5	7	3	9	5	3	10	8	6	5	3	1	6	1	5	3	2	4	4	3	3	1	3	5	2	3	3	5	3	3	2	0	0	3	1	0	0	0
Sudeste	PARA	1	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sudeste	PARA	0	Brazil	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centro-Oeste	PARA	1	Brazil	0	0	0	0	5	5	0	4	0	1	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Centro-Oeste	PARA	0	Brazil	0	0	0	35	342	337	158	127	66	53	48	61	45	23	24	22	10	1	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	12	0
Sul	FLUB	1	Brazil	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
Sul	FLUB	0	Brazil	5	6	67	155	684	696	27	13	57	113	44	49	42	53	32	18	17	15	15	29	52	79	87	106	123	85	129	140	149	176	138	134	76	75	46	53	49	50	55	60	32	41	38	37	34	53	76	25	107	28	135	98	92	51	3	0	33	13	15	19	0
Norte	FLUB	1	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Norte	FLUB	0	Brazil	34	45	54	85	97	123	628	186	167	180	40	28	10	11	13	7	28	7	6	4	16	15	6	7	13	5	9	6	5	10	8	6	5	3	1	6	1	5	3	2	4	4	3	3	1	3	5	2	3	3	5	3	3	2	0	0	3	1	0	0	0
Centro-Oeste	FLUB	1	Brazil	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Centro-Oeste	FLUB	0	Brazil	349	302	349	1687	2575	4233	4805	2447	2248	1296	890	621	443	614	462	217	269	80	58	107	148	132	136	169	200	184	244	165	153	104	101	83	68	76	56	61	66	99	83	115	111	164	138	153	120	94	76	56	102	41	143	116	113	123	8	0	61	51	63	60	0
Sudeste	FLUB	1	Brazil	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	4	2	8	0
Sudeste	FLUB	0	Brazil	2068	2056	1445	4479	12528	20520	17047	6290	5305	3823	2373	1888	859	1004	770	325	715	288	80	177	215	333	361	394	431	512	490	405	414	343	336	322	234	215	209	215	228	269	292	320	330	447	507	654	497	570	597	255	741	57	581	391	328	329	6	0	174	139	115	153	0
Nordeste	FLUB	1	Brazil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nordeste	FLUB	0	Brazil	60	36	55	346	1079	921	136	140	278	152	92	57	24	39	27	12	21	11	7	8	11	18	23	19	22	19	25	39	24	25	12	11	14	10	11	5	6	6	6	8	7	11	4	6	10	9	7	8	15	8	17	14	7	8	0	0	7	3	1	0	0
Sudeste	RINO	0	Brazil	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sudeste	RINO	1	Brazil	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Centro-Oeste	RINO	0	Brazil	0	0	0	32	311	318	153	127	64	47	42	48	36	19	19	20	8	1	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	12	0
Centro-Oeste	RINO	1	Brazil	0	0	0	3	36	24	5	4	2	7	8	14	10	6	5	2	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
