pathogen	region	country	test_result	2021-12-05	2021-12-06	2021-12-07	2021-12-08	2021-12-09	2021-12-10	2021-12-11	2021-12-12	2021-12-13	2021-12-14	2021-12-15	2021-12-16	2021-12-17	2021-12-18	2021-12-19	2021-12-20	2021-12-21	2021-12-22	2021-12-23	2021-12-24	2021-12-25	2021-12-26	2021-12-27	2021-12-28	2021-12-29	2021-12-30	2021-12-31	2022-01-01	2022-01-02	2022-01-03	2022-01-04	2022-01-05	2022-01-06	2022-01-07	2022-01-08	2022-01-09	2022-01-10	2022-01-11	2022-01-12	2022-01-13	2022-01-14	2022-01-15	2022-01-16	2022-01-17	2022-01-18	2022-01-19	2022-01-20	2022-01-21	2022-01-22	2022-01-23	2022-01-24	2022-01-25	2022-01-26	2022-01-27	2022-01-28	2022-01-29	2022-01-30	2022-01-31	2022-02-01	2022-02-02	2022-02-03	2022-02-04	2022-02-05	2022-02-06	2022-02-07	2022-02-08	2022-02-09	2022-02-10	2022-02-11	2022-02-12	2022-02-13	2022-02-14	2022-02-15	2022-02-16	2022-02-17	2022-02-18	2022-02-19	2022-02-20	2022-02-21	2022-02-22	2022-02-23	2022-02-24	2022-02-25	2022-02-26	2022-02-27	2022-02-28	2022-03-01	2022-03-02	2022-03-03	2022-03-04	2022-03-05	2022-03-06	2022-03-07	2022-03-08	2022-03-09	2022-03-10	2022-03-11	2022-03-12	2022-03-13	2022-03-14	2022-03-15	2022-03-16	2022-03-17	2022-03-18	2022-03-19	2022-03-20	2022-03-21	2022-03-22	2022-03-23	2022-03-24	2022-03-25	2022-03-26	2022-03-27	2022-03-28	2022-03-29	2022-03-30	2022-03-31	2022-04-01	2022-04-02	2022-04-03	2022-04-04	2022-04-05	2022-04-06	2022-04-07	2022-04-08	2022-04-09	2022-04-10	2022-04-11	2022-04-12	2022-04-13	2022-04-14	2022-04-15	2022-04-16	2022-04-17	2022-04-18	2022-04-19	2022-04-20	2022-04-21	2022-04-22	2022-04-23	2022-04-24	2022-04-25	2022-04-26	2022-04-27	2022-04-28	2022-04-29	2022-04-30	2022-05-01	2022-05-02	2022-05-03	2022-05-04	2022-05-05	2022-05-06	2022-05-07	2022-05-08	2022-05-09	2022-05-10	2022-05-11	2022-05-12	2022-05-13	2022-05-14	2022-05-15	2022-05-16	2022-05-17	2022-05-18	2022-05-19	2022-05-20	2022-05-21	2022-05-22	2022-05-23	2022-05-24	2022-05-25	2022-05-26	2022-05-27	2022-05-28	2022-05-29	2022-05-30	2022-05-31	2022-06-01	2022-06-02	2022-06-03	2022-06-04	2022-06-05	2022-06-06	2022-06-07	2022-06-08	2022-06-09	2022-06-10	2022-06-11	2022-06-12	2022-06-13	2022-06-14	2022-06-15	2022-06-16	2022-06-17	2022-06-18	2022-06-19	2022-06-20	2022-06-21	2022-06-22	2022-06-23	2022-06-24	2022-06-25	2022-06-26	2022-06-27	2022-06-28	2022-06-29	2022-06-30	2022-07-01	2022-07-02	2022-07-03	2022-07-04	2022-07-05	2022-07-06	2022-07-07	2022-07-08	2022-07-09	2022-07-10	2022-07-11	2022-07-12	2022-07-13	2022-07-14	2022-07-15	2022-07-16	2022-07-17	2022-07-18	2022-07-19	2022-07-20	2022-07-21	2022-07-22	2022-07-23	2022-07-24	2022-07-25	2022-07-26	2022-07-27	2022-07-28	2022-07-29	2022-07-30	2022-07-31	2022-08-01	2022-08-02	2022-08-03	2022-08-04	2022-08-05	2022-08-06	2022-08-07	2022-08-08	2022-08-09	2022-08-10	2022-08-11	2022-08-12	2022-08-13	2022-08-14	2022-08-15	2022-08-16	2022-08-17	2022-08-18	2022-08-19	2022-08-20	2022-08-21	2022-08-22	2022-08-23	2022-08-24	2022-08-25	2022-08-26	2022-08-27	2022-08-28	2022-08-29	2022-08-30	2022-08-31	2022-09-01	2022-09-02	2022-09-03	2022-09-04	2022-09-05	2022-09-06	2022-09-07	2022-09-08	2022-09-09	2022-09-10	2022-09-11	2022-09-12	2022-09-13	2022-09-14	2022-09-15	2022-09-16	2022-09-17	2022-09-18	2022-09-19	2022-09-20	2022-09-21	2022-09-22	2022-09-23	2022-09-24	2022-09-25	2022-09-26	2022-09-27	2022-09-28	2022-09-29	2022-09-30	2022-10-01	2022-10-02	2022-10-03	2022-10-04	2022-10-05	2022-10-06	2022-10-07	2022-10-08	2022-10-09	2022-10-10	2022-10-11	2022-10-12	2022-10-13	2022-10-14	2022-10-15	2022-10-16	2022-10-17	2022-10-18	2022-10-19	2022-10-20	2022-10-21	2022-10-22	2022-10-23	2022-10-24	2022-10-25	2022-10-26	2022-10-27	2022-10-28	2022-10-29	2022-10-30	2022-10-31	2022-11-01	2022-11-02	2022-11-03	2022-11-04	2022-11-05	2022-11-06	2022-11-07	2022-11-08	2022-11-09	2022-11-10	2022-11-11	2022-11-12	2022-11-13	2022-11-14	2022-11-15	2022-11-16	2022-11-17	2022-11-18	2022-11-19	2022-11-20	2022-11-21	2022-11-22	2022-11-23	2022-11-24	2022-11-25	2022-11-26	2022-11-27	2022-11-28	2022-11-29	2022-11-30	2022-12-01	2022-12-02	2022-12-03	2022-12-04	2022-12-05	2022-12-06	2022-12-07	2022-12-08	2022-12-09	2022-12-10	2022-12-11	2022-12-12	2022-12-13	2022-12-14	2022-12-15	2022-12-16	2022-12-17	2022-12-18	2022-12-19	2022-12-20	2022-12-21	2022-12-22	2022-12-23	2022-12-24	2022-12-25	2022-12-26	2022-12-27	2022-12-28	2022-12-29	2022-12-30	2022-12-31	2023-01-01	2023-01-02	2023-01-03	2023-01-04	2023-01-05	2023-01-06	2023-01-07	2023-01-08	2023-01-09	2023-01-10	2023-01-11	2023-01-12	2023-01-13	2023-01-14	2023-01-15	2023-01-16	2023-01-17	2023-01-18	2023-01-19	2023-01-20	2023-01-21	2023-01-22	2023-01-23	2023-01-24	2023-01-25	2023-01-26	2023-01-27	2023-01-28	2023-01-29	2023-01-30	2023-01-31	2023-02-01	2023-02-02	2023-02-03	2023-02-04
PARA	Norte	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARA	Nordeste	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARA	Sul	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARA	Sudeste	Brazil	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARA	Centro-Oeste	Brazil	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	27	31	45	50	81	42	43	55	49	47	74	59	38	48	27	13	32	33	25	25	20	10	12	22	28	28	19	14	8	7	6	14	12	12	10	5	7	14	7	7	7	6	6	4	7	5	16	6	8	4	4	7	17	6	15	4	9	4	4	5	14	6	8	5	4	4	3	3	2	5	4	0	6	2	5	4	4	3	1	5	6	1	7	0	2	0	2	0	1	3	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	1	1	1	2	1	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	1	1	4	4	2	1	3	0	4	2	0	0	0	0	0	0	0	0
SC2	Norte	Brazil	1.0	15	1	0	11	19	13	12	24	0	6	10	17	11	28	15	1	4	29	24	9	19	5	2	16	26	79	35	44	9	200	167	210	241	241	159	24	318	341	472	653	627	374	35	540	457	541	703	649	397	107	434	409	419	477	277	253	20	284	212	200	244	204	102	45	133	158	134	160	167	35	17	111	76	114	107	61	67	9	82	67	62	85	80	43	8	20	8	40	98	23	33	11	43	39	31	63	75	22	4	34	29	25	29	52	33	9	42	37	43	30	51	15	7	25	27	42	45	49	43	4	53	40	77	28	29	32	11	40	20	10	16	14	26	3	19	17	15	7	25	9	3	25	37	30	16	18	17	5	21	27	27	27	12	16	5	27	24	27	15	21	18	8	20	25	24	13	14	22	5	24	29	24	18	25	30	4	25	27	34	43	34	17	9	78	65	38	44	46	24	1	34	37	36	18	53	23	14	53	75	131	108	81	59	26	79	62	108	132	104	70	26	74	76	125	249	117	39	18	130	86	74	97	59	40	10	79	72	111	75	76	42	8	46	46	36	58	26	41	6	29	28	18	20	26	8	1	16	31	23	46	30	7	1	14	28	21	16	13	13	8	19	12	18	10	20	5	0	18	8	37	17	15	7	3	5	10	11	17	6	8	17	16	13	5	20	10	4	7	15	7	14	8	8	6	10	7	14	8	9	7	2	1	1	0	4	8	0	4	3	6	10	5	22	19	12	1	22	35	20	16	30	14	4	14	32	35	26	25	62	4	25	0	10	7	1	4	0	0	1	8	22	15	2	7	13	3	20	25	46	15	13	28	21	31	24	28	8	10	15	25	24	49	18	19	3	22	64	38	17	24	13	17	4	1	4	9	7	5	2	0	0	0	0	0	0	0	0	0	3	2	3	1	1	2	0	3	7	7	2	1	1	0	0	1	3	0	2	2	0	4	14	0	1	0	0	8	0	7	4	5	0	0	0	0	0	0	0
SC2	Nordeste	Brazil	1.0	19	6	23	26	21	17	6	30	24	6	8	21	10	20	4	7	20	41	33	24	9	1	16	37	98	124	75	173	138	493	601	743	989	925	634	274	900	770	890	811	710	482	191	534	433	485	461	611	411	102	532	526	913	1247	646	347	208	783	588	337	366	586	201	90	245	179	167	178	174	136	77	143	132	129	122	111	68	39	122	83	112	105	84	62	37	87	37	80	61	62	54	16	71	45	47	74	89	45	15	81	66	52	42	41	24	23	55	47	50	46	20	28	18	80	64	46	57	70	30	17	73	39	40	61	34	12	22	39	28	41	30	10	16	7	43	39	23	14	29	12	10	44	31	37	42	36	39	13	49	55	44	44	43	22	10	43	46	67	45	35	36	16	47	33	40	32	40	15	6	34	26	38	33	38	40	6	75	46	52	69	42	37	19	107	100	87	79	124	57	16	104	90	111	60	102	42	16	90	106	78	75	37	41	11	298	777	781	697	629	562	233	248	584	585	406	499	387	89	166	473	394	313	210	290	95	132	291	216	219	203	280	53	129	212	213	207	191	91	81	109	195	114	202	104	189	30	30	34	45	45	22	17	8	116	195	113	221	200	64	94	125	176	218	104	204	96	22	111	100	104	115	98	96	85	19	115	83	16	91	86	79	108	28	95	103	71	95	54	22	201	17	87	55	81	54	106	123	13	74	75	52	57	4	93	78	53	55	72	56	12	102	66	2	61	73	65	112	9	82	67	51	79	48	8	71	88	64	48	76	45	14	71	83	7	106	104	84	91	238	251	281	455	444	90	289	356	290	757	710	753	104	367	811	571	609	339	487	55	254	437	259	386	224	178	38	49	130	204	107	103	86	103	12	72	73	91	79	56	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	92	69	63	47	138	3	96	45	140	9	46	152	2	95	14	65	51	57	70	59	1	78	57	37	44	64	39	0	0	0	0	0	0
SC2	Sul	Brazil	1.0	16	48	11	5	3	1	3	1	3	5	5	1	1	0	0	2	6	9	35	20	6	1	6	51	49	30	35	18	2	27	91	337	115	184	311	128	286	65	176	65	10	8	8	6	9	6	4	1	15	0	4	1	5	9	7	1	4	0	8	28	8	3	18	35	2	14	15	63	23	6	6	0	3	20	5	12	3	3	1	6	1	10	31	8	0	5	5	10	10	14	6	4	23	16	9	22	6	6	4	9	11	7	10	11	2	1	9	9	6	11	11	10	2	5	7	6	15	8	6	2	13	9	7	12	11	6	3	9	3	14	12	5	4	5	17	11	7	8	12	3	5	12	14	24	28	20	15	2	25	23	28	26	18	13	2	16	26	37	30	27	8	10	24	34	35	30	28	12	9	28	27	33	44	30	17	10	18	16	33	31	33	2	13	33	26	40	43	36	8	4	32	43	34	40	12	5	11	25	20	35	25	27	25	7	154	691	557	476	495	502	195	151	704	690	471	461	423	176	180	622	468	403	378	409	86	145	526	334	332	258	288	47	86	377	326	327	250	258	69	29	401	263	207	244	230	100	16	17	7	31	16	2	6	119	351	287	253	201	205	24	80	304	246	210	211	205	45	80	240	400	182	188	180	36	70	224	295	25	115	157	29	43	317	214	178	133	113	13	48	247	178	147	114	113	18	27	260	169	126	104	99	26	18	257	210	129	107	89	13	44	95	184	23	149	86	28	32	238	144	114	105	70	34	61	254	113	153	120	92	2	43	65	276	44	105	76	30	43	275	147	206	231	139	82	82	389	32	440	348	427	105	120	635	356	509	370	183	187	90	473	436	344	356	346	99	178	532	326	358	302	285	46	60	543	347	230	354	302	20	0	0	0	0	0	0	0	0	0	0	1	4	1	0	53	319	199	180	180	153	12	31	324	158	190	98	65	0	29	295	60	48	27	38	8	23	47	49	34	29	5	38	0	0	0	0	0	0
SC2	Sudeste	Brazil	1.0	417	1653	2655	3259	2479	2646	1190	486	1886	985	783	912	1628	1252	386	1600	2758	2483	2357	1149	398	76	2131	3887	3483	4377	2454	868	321	4867	10258	7133	3881	4931	4935	3531	3919	4365	3802	4644	3772	2974	2691	2315	3235	5641	4862	4034	4383	2242	2303	2255	3412	2585	2398	2348	813	986	2756	1866	2498	1529	1570	310	606	1228	1489	1135	1447	696	373	974	2061	2293	1400	1105	642	238	117	1243	961	1167	682	315	120	284	272	156	424	897	389	232	178	688	598	818	762	642	206	858	877	636	943	827	544	281	1809	1770	2032	1924	1742	497	273	1969	1875	2073	1767	1485	1192	486	1979	2029	1341	1720	1440	935	544	1692	1947	1920	1439	709	742	498	1813	1948	1523	487	1361	642	583	2050	2098	2085	2243	1773	1075	598	2120	2286	1954	1880	1595	878	473	1696	2382	1834	1874	2188	1166	840	2271	2380	2264	1943	2115	1663	858	2473	2752	2707	2712	2764	1482	1267	1857	2254	3170	3565	3399	1150	1241	2767	3358	3771	3286	2931	827	589	2224	2446	2233	1282	1391	750	1027	1341	2144	2247	1262	1242	749	280	1093	1926	1932	1220	1365	576	519	1325	1650	3702	3445	3241	616	594	3008	3024	2904	2806	2290	1243	465	1914	2364	2065	1680	1569	376	428	1660	1482	1617	879	809	479	162	1054	1317	1348	1091	1120	381	149	778	1159	1220	1060	1030	513	220	1031	925	1026	1017	816	376	183	740	891	901	842	647	414	202	741	772	959	673	836	474	203	863	761	299	726	615	475	254	782	913	802	918	800	263	176	671	889	1032	893	795	430	164	787	736	744	715	456	336	209	776	870	690	814	628	108	115	507	594	204	415	622	156	113	491	833	757	727	598	157	155	775	847	859	785	312	188	40	133	170	114	93	87	92	117	100	297	394	480	407	351	166	72	378	146	426	484	532	210	226	682	541	525	380	298	182	104	374	407	320	470	171	103	84	398	328	289	241	184	128	88	280	262	248	170	133	76	0	0	0	0	0	0	0	0	23	44	29	33	17	15	87	342	431	273	350	38	112	611	534	443	578	539	51	105	541	511	538	334	223	111	105	493	475	399	573	477	71	2	0	0	0	0	0	0
SC2	Centro-Oeste	Brazil	1.0	102	25	53	211	109	115	66	106	22	153	104	168	79	273	41	12	174	251	196	166	193	1	54	287	801	711	978	934	1063	2523	3339	4371	4543	4740	3857	2264	5393	5297	5933	5581	5097	1485	1071	4189	3779	4533	4812	4503	3869	2862	4099	4004	4424	4557	4166	3345	2401	4056	4115	4008	3803	3700	2553	1694	2910	2709	2740	2461	2407	1621	1025	2063	1717	1937	1541	1465	993	774	1405	1289	1255	1238	1053	693	473	741	656	846	1035	975	759	534	821	677	927	992	942	500	341	635	663	614	736	688	475	301	581	593	647	626	537	379	296	582	639	579	557	506	382	192	509	463	476	530	392	308	426	570	466	440	383	271	285	206	455	415	425	274	353	254	210	477	434	503	506	475	343	210	446	456	507	452	453	328	225	545	766	706	662	634	460	347	807	719	780	742	625	508	364	950	1166	1288	1529	1498	1140	692	2050	2318	2676	2963	3215	2105	1480	3786	3664	4162	4203	3786	2274	1230	3476	3554	3520	1946	2721	1740	1297	3017	2753	2949	2638	2306	1585	898	2832	2603	2562	2305	2220	1196	748	1929	1723	1661	1530	1376	820	570	1669	1129	1182	1033	969	584	326	1151	915	875	812	714	418	276	790	707	744	683	648	350	209	695	669	667	600	620	279	208	693	592	656	777	486	296	151	557	598	549	539	450	299	178	568	560	551	483	468	309	137	554	540	561	399	441	263	166	526	491	192	544	418	319	519	550	449	464	375	403	256	142	434	360	427	408	260	242	124	337	382	351	289	280	73	76	121	95	103	106	119	61	57	250	377	59	229	200	161	81	274	283	283	271	238	173	94	253	245	236	224	219	154	58	259	77	44	80	64	34	38	92	118	126	265	522	73	221	634	293	892	1030	1086	637	377	1338	1387	1449	1062	1383	852	581	1390	1531	1443	1732	1211	868	486	1451	1599	1666	1699	1176	913	536	422	357	470	379	314	137	11	0	0	1	0	0	0	0	0	3	7	8	42	81	9	21	19	38	20	38	15	16	16	17	33	27	28	36	62	181	140	136	164	111	102	63	157	133	130	96	128	76	0	0	0	0	0	0	0
COVS	Norte	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COVS	Nordeste	Brazil	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
